"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3>打印格式帮助</h3>
<hr>
<h4>简介</h4>
<p>打印格式是使用 Jinja 模板语言在服务器端渲染的。所有表单都可以访问<code>doc</code>对象，该对象包含正在格式化的文档的相关信息。你还可以通过<code>frappe</code>模块访问常用工具。</p>
<p>在样式设计方面，我们提供了 Boostrap CSS 框架，你可以使用全部的类。</p>
<hr>
<h4>参考资料</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja 模板语言</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS 框架</a></li>
</ol>
<hr>
<h4>示例</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;客户姓名&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table- border"" trbodybordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text- right"" Qty /th th class=""text- right"" Qtyright""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width：3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;项目代码： {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border：0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>常用函数</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>获取格式为日期、货币等的文档值。对于货币类型字段，请传递父<code>doc</code>。</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>从另一个文档获取值。</td>
		</tr>
	</tbody>
</table>
",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>电子邮件回复示例</h4>

<pre>订单逾期

交易 {{ name }} 已超过到期日。请采取必要行动。

详情

- 客户： {{ customer }}
- 金额： {{ grand_total }}
</pre>

<h4>如何获取字段名</h4>

<p>您可以在电子邮件模板中使用的字段名是发送电子邮件的文档中的字段。您可以通过设置 &gt; 自定义表单视图并选择文档类型（如销售发票）来查找任何文档的字段。</p>

<h4>模板</h4>

<p>模板使用 Jinja 模板语言编译。要了解有关 Jinja 的更多信息，请<a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">阅读此文档。</a></p>
",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">或者</h5>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>信息示例</h5>

<pre>&lt;h3&gt;订单逾期&lt;/h3&gt;

&lt;p&gt;交易 {{ doc.name }} 已超过到期日。请采取必要行动。&lt;/p&gt;

&lt;!-- 显示最后评论 --&gt;
{% if comments %}
最后评论： {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;详情&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;客户： {{ doc.customer }}
&lt;li&gt;金额： {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</code></pre>
","<p><strong>条件示例:</strong></p>
<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</code></pre>
",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>条件示例：</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>可为单一类型创建多个网络表单。为该网络表单添加特定筛选器，以便在提交后显示正确的记录。</p><p>例如</p>
<p>如果您每年都创建一个单独的网络表格来收集员工的反馈意见，请在 doctype 中添加一个名为年份的 
 字段，并添加过滤器<b>年份 = 2023</b></p>
",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>在渲染模板前设置上下文。示例</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>要与上述 HTML 交互，您必须使用 `root_element` 作为父选择器。</p><p>例如：</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// 这里默认提供 root_element
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>",
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>",<p>您在{0}的OTP密钥已被重置。若非您本人操作，请立即联系系统管理员。</p>,
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>* * * * *
┬ ┬ ┬ ┬ ┬
│ │ │ │ │
│ │ │ │ └ 星期几 (0 - 6)（0 为星期日）
│ │ │ └───── 月 (1 - 12)
│ │ └────────── 月中某天 (1 - 31)
│ └──────────────── 小时 (0 - 23)
└──────────────────── 分钟 (0 - 59)

---

* - 任意值
/ - 步长值
</pre>
",
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>

<p>条件应使用简单的 Python 语言编写。请仅使用表单中可用的属性。</p>
<p>允许使用的函数：
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_too_date</li>
<li>frappe.utils.now</li>
</ul>
<p>示例： </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>",
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>警告:</strong> 本字段为系统生成，可能被后续更新覆盖。请使用{0}进行修改。,
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens",文档类型名称应以字母开头，只能包含字母、数字、空格、下划线和连字符,
"A Frappe Framework instance can function as an OAuth Client, Resource, or Authorization server. This DocType contains settings related to all three.",Frappe Framework实例可作为OAuth客户端、资源服务器或授权服务器运行。本文档类型包含与此三种角色相关的设置。,
A field with the name {0} already exists in {1},字段{0}已在{1}中存在,
A file with same name {} already exists,同名文件{}已存在,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,用户授权后客户端应用可访问的资源列表。<br>例如：项目,
A new account has been created for you at {0},已为您创建新账户{0},
A recurring {0} {1} has been created for you via Auto Repeat {2}.,已通过自动重复{2}为您创建周期性{0} {1}。,
A symbol for this currency. For e.g. $,本币符号。例如：$,
A template already exists for field {0} of {1},字段{1}.{0}的模板已存在,
"A version identifier string for the client software.
<br>
The value of the should change on any update of the client software with the same Software ID.","客户端软件的版本标识符字符串。
<br>
对于具有相同软件ID的客户端软件，该值应在任何更新时变更。",
A word by itself is easy to guess.,很容易猜到的一个字,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,全部,
API,API,
API Access,API 访问,
API Endpoint,API 端点,
API Endpoint Args,API 端点参数,
API Endpoint Args should be valid JSON,API端点参数应为有效的JSON格式,
API Key,API 密钥,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,与中继服务器交互的 API 密钥和密钥。当从本网站安装的任何应用发送首次推送通知时自动生成。,
API Key cannot be regenerated,API 密钥无法重新生成,
API Keys,API密钥,
API Logging,API日志记录,
API Method,API 方法,
API Request Log,API请求日志,
API Secret,API 密钥,
ASC,升序,
About,关于,
About Us,关于我们,
About Us Settings,关于我们设置,
About Us Team Member,关于我们 团队成员,
About {0} minute remaining,还剩约 {0} 分钟,
About {0} minutes remaining,还剩约 {0} 分钟,
About {0} seconds remaining,还剩约 {0} 秒,
Accept Invitation,接受邀请,
Accepted,已接受,
Accepted At,接受时间,
Access Control,访问控制,
Access Log,访问记录,
Access Token,访问令牌,
Access Token URL,访问令牌 URL,
Access not allowed from this IP Address,禁止从此IP地址访问,
Account,科目,
Account Deletion Settings,账户删除设置,
Accounts Manager,会计经理,
Accounts User,会计,
"Accurate count can not be fetched, click here to view all documents",无法获取准确计数，点击此处查看所有文档,
Action,操作,
Action / Route,操作/路由,
Action Complete,操作完成,
Action Failed,操作失败,
Action Label,操作标签,
Action Timeout (Seconds),操作超时（秒）,
Action Type,操作类型,
Action {0} completed successfully on {1} {2}. View it {3},操作{0}在{2} {1}上成功完成。查看{3},
Action {0} failed on {1} {2}. View it {3},操作{0}在{2} {1}上失败。查看{3},
Actions,操作,
Activate,激活,
Active,在职,
Active Directory,活动目录,
Active Domains,活跃域,
Active Sessions,活动会话,
Activity,活动,
Activity Log,用户操作日志,
Add,添加,
Add / Remove Columns,添加/移除列,
Add / Update,添加/更新,
Add A New Rule,创建新规则,
Add Attachment,添加附件,
Add Background Image,添加背景图片,
Add Border at Bottom,底部添加边框,
Add Border at Top,顶部添加边框,
Add CSS,添加 CSS,
Add Card to Dashboard,添加到仪表板,
Add Chart to Dashboard,添加图表至数据面板,
Add Child,添加子项,
Add Column,添加列,
Add Contact,增加联系人,
Add Contacts,添加联系人,
Add Container,添加容器,
Add Custom Tags,添加自定义标签,
Add Filters,添加过滤条件,
Add Gray Background,添加灰色背景,
Add Group,添加分组,
Add Indexes,添加索引,
Add New,添加新项,
Add New Permission Rule,新建权限规则,
Add Participants,添加参与者,
Add Query Parameters,添加查询参数,
Add Reply-To header,添加回复至标头,
Add Roles,添加角色,
Add Signature,添加签名,
Add Space at Bottom,底部添加间距,
Add Space at Top,顶部添加间距,
Add Subscribers,添加订阅者,
Add Tags,添加标签,
Add Template,新建模板,
Add Total Row,添加汇总行,
Add Translate Data,添加翻译数据,
Add Unsubscribe Link,添加退订链接,
Add User Permissions,添加用户权限限制,
Add Video Conferencing,添加视频会议,
Add X-Original-From header,添加 X-Original-From 标头,
Add a Filter,添加筛选,
Add a New Role,创建新角色,
Add a Row,添加行,
Add a comment,添加评论,
Add a new section,添加新分区,
Add a row above the current row,在当前行上方插入行,
Add a row at the bottom,在底部添加行,
Add a row at the top,在顶部添加行,
Add a row below the current row,在当前行下方插入行,
Add a {0} Chart,添加{0}图表,
Add column,添加栏,
Add field,添加字段,
Add multiple,批量添加,
Add new tab,添加新页签,
Add numbers or special characters.,添加数字或特殊字符。,
Add page break,添加分页符,
Add row,添加行,
Add script for Child Table,添加子表的脚本,
Add section above,在上方添加章节,
Add section below,添加段,
Add tab,添加页签,
Add to Dashboard,添加到仪表板,
Add to Desktop,添加到桌面,
Add to ToDo,新增待办,
Add to table,添加到表格,
Add to this activity by mailing to {0},发送邮件至{0}参与此活动,
Add {0},添加{0},Primary action in list view
Add/Update Filter,添加/更新筛选器,
Added,添加了,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在网页 &lt;head&gt; 部分添加 HTML，主要用于网站验证和 SEO,
Added default log doctypes: {},已添加默认日志文档类型: {},
Added {0} ({1}),已添加{0}（{1}）,
Additional Permissions,附加权限,
Address,地址,
Address And Contacts,地址与联系人,
Address Line 1,详细地址1,
Address Line 2,详细地址2,
Address Template,地址模板,
Address Title,地址标题,
Address Title is mandatory.,地址名称是必填项。,
Address Type,地址类型,
Address and other legal information you may want to put in the footer.,您可能希望在页脚放置的地址及其他法律信息。,
Addresses,地址,
Addresses And Contacts,地址和联系方式,
Addresses added here will be used as the Reply-To header for outgoing emails sent from this account.,此处添加的地址将用作此账户发送的 outgoing 邮件的回复至标头。,
"Adds a clear (×) button to Link fields, allowing users to quickly remove the selected value.",在链接字段中添加清除（×）按钮，允许用户快速移除所选值。,
Adds a custom client script to a DocType,为文档类型添加自定义客户端脚本,
Adds a custom field to a DocType,为单据类型添加一个自定义字段,
Administration,系统管理,
Administrator,管理员,
Administrator Logged In,管理员登录,
Administrator accessed {0} on {1} via IP Address {2}.,管理员访问{0}在{1}通过IP地址{2}。,
Administrator can't follow,管理员无法关注,
Advanced,高级,
Advanced Control,高级控制,
Advanced Search,高级搜索,
Advanced Settings,高级设置,
After,之后,
After Cancel,取消后,
After Delete,删除后,
After Discard,废弃后,
After Insert,插入后,
After Rename,重命名后,
After Save,保存后,
After Save (Submitted Document),保存后（已提交文档）,
After Submission,提交后,
After Submit,提交后,
Aggregate Field is required to create a number card,创建数字卡片需要聚合字段,
Aggregate Function Based On,基于的聚合函数,
Aggregate Function field is required to create a dashboard chart,创建仪表板图表需要聚合函数字段,
Alert,警报,
Alias must be a string,别名必须为字符串,
Align,对齐,
Align Labels to the Right,标签右对齐,
Align Right,右对齐,
Align Value,对齐方式,
Alignment,对齐方式,
All,全部,
All Day,全天,
All Images attached to Website Slideshow should be public,所有连接到网站幻灯片的图片应该是公开的,
All Records,所有记录,
All Submissions,所有提交,
All customizations will be removed. Please confirm.,所有定制都将被删除，请确认,
All fields are necessary to submit the comment.,所有字段都必须提交评论。,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","所有可能的工作流程状态和工作流程角色。文档状态选项：0 表示 ""已保存""，1 表示 ""已提交""，2 表示 ""已取消""",
All-uppercase is almost as easy to guess as all-lowercase.,全大写几乎一样容易猜到全部小写。,
Allocated To,分配给,
Allow,允许,
Allow API Indexing Access,允许API索引访问,
Allow Auto Repeat,允许自动重复,
Allow Bulk Edit,允许批量编辑,
Allow Bulk Editing,启用批量编辑,
Allow Clearing Link Fields,允许清除链接字段,
Allow Consecutive Login Attempts,允许连续登录尝试,
Allow Google Calendar Access,允许访问Google日历,
Allow Google Contacts Access,允许Google通讯录访问,
Allow Guest,允许访客,
Allow Guest to View,允许访客查看,
Allow Guests to Upload Files,允许访客上传文件,
Allow Import (via Data Import Tool),允许导入（通过数据导入工具）,
Allow Login After Fail,失败后允许登录,
Allow Login using Mobile Number,允许使用手机号登录,
Allow Login using User Name,允许使用用户名登录,
Allow Modules,允许模块,
Allow Print for Cancelled,允许打印已取消文档,
Allow Print for Draft,允许在草稿状态下打印,
Allow Read On All Link Options,允许在所有链接选项上读取,
Allow Rename,允许重命名,
Allow Roles,允许角色,
Allow Self Approval,允许自我审批,
Allow Sending Usage Data for Improving Applications,允许发送使用数据以改进应用,
Allow approval for creator of the document,允许文档创建者审批,
Allow comments,允许评论,
Allow delete,允许删除,
Allow document creation via Email,允许通过邮件创建文档,
Allow editing after submit,提交后允许编辑,
